Sprint,阶段目标,Task编号,Task名称,模块,交付物,开始日期,结束日期,需求明确,优先级,标签,备注,阻塞项
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.8,核销端开发（确认 + 防重复 + 当日手环）,核销端,扫码结果卡片 + 确认入场按钮 + 发手环,2026-05-04,2026-05-10,明确,High,前端,已核销当天显示已发手环当日有效,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.9,后台订单管理 + 支付管理,后台管理,订单列表 状态修改 导出,2026-05-04,2026-05-10,明确,High,后端,财务客服角色,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.10,后台核销管理 + 数据导出,后台管理,核销记录 按场次统计,2026-05-04,2026-05-10,明确,Medium,后端,运营/财务可用,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.11,数据库表：orders/order_items/payments,数据库,订单/支付核心表,2026-05-04,2026-05-10,明确,High,数据库,含订单状态机字段,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.12,数据库表：checkins（基础字段）,数据库,class_date + 当天6个class_id,2026-05-04,2026-05-10,明确,High,数据库,按天核销 不是按整期核销,
Sprint 3,次卡能卖 按老师核销,3.1,次卡促销规则配置开发,后台管理,1/4/5/10 次卡促销档位绑定课包,2026-05-11,2026-05-24,待确认,High,后端,次卡是促销不是 SKU,饭团 W2 末交付次卡规则
Sprint 3,次卡能卖 按老师核销,3.2,次卡购买页开发,官网 H5,课包列表 + 次卡促销标签 + 价格,2026-05-11,2026-05-24,明确,High,前端,不参与拼团,
Sprint 3,次卡能卖 按老师核销,3.3,次卡选课程交互开发,官网 H5,用户在 classes 列表选单节课,2026-05-11,2026-05-24,明确,High,前端,写死的课表上选择 关联 class_id,
Sprint 3,次卡能卖 按老师核销,3.4,"我的次卡"页面开发,官网 H5,次卡余量 + 已用记录 + 已选课程列表,2026-05-11,2026-05-24,明确,Medium,前端,用户个人中心,
Sprint 3,次卡能卖 按老师核销,3.5,次卡核销逻辑开发,后端,按老师 x 课次扣减 关联具体 class_id,2026-05-11,2026-05-24,明确,High,后端,防重复核销,
Sprint 3,次卡能卖 按老师核销,3.6,后台次卡余量统计,后台管理,按老师/按场次统计,2026-05-11,2026-05-24,明确,Medium,后端,运营数据查看,
Sprint 3,次卡能卖 按老师核销,3.7,数据库表：promotions（次卡规则）,数据库,"promotion_type=class_pass, card_times",2026-05-11,2026-05-24,明确,High,数据库,绑定 bundle_id,
Sprint 3,次卡能卖 按老师核销,3.8,数据库表补充：order_items（次卡字段）,数据库,remaining_times,2026-05-11,2026-05-24,明确,Medium,数据库,记录次卡剩余次数,
Sprint 4,拼团名额自动分配 分销链接可追踪,4.1,拼团促销档位配置开发,后台管理,5人/10人/20人团价格绑定课包 + 库存配置,2026-05-11,2026-05-24,待确认,High,后端,依赖饭团拼团规则,饭团 W4 末交付拼团规则
Sprint 4,拼团名额自动分配 分销链接可追踪,4.2,拼团页开发,官网 H5,名额剩余 成员列表 分享,2026-05-11,2026-05-24,明确,High,前端,仅5人团对外显示 不设库存,
Sprint 4,拼团名额自动分配 分销链接可追踪,4.3,分销链接系统开发,后端,分销商固定链接 + 购买归属记录,2026-05-11,2026-05-24,待确认,High,后端,链接绑定团（10人/20人团）,饭团 W4 末交付分销名单
Sprint 4,拼团名额自动分配 分销链接可追踪,4.4,分销落地页开发,官网 H5,分销归属记录入口,2026-05-11,2026-05-24,明确,Medium,前端,分销商专属,
Sprint 4,拼团名额自动分配 分销链接可追踪,4.5,自动填团逻辑开发,后端,满员自动进下一团,2026-05-11,2026-05-24,待确认,High,后端,无开团/等待/超时逻辑,饭团 W4 末交付拼团规则
Sprint 4,拼团名额自动分配 分销链接可追踪,4.6,团满自动关档 + 库存扣减开发,后端,售完关闭对应档位,2026-05-11,2026-05-24,待确认,High,后端,仅10人/20人团有库存,饭团 W4 末交付库存规则
Sprint 4,拼团名额自动分配 分销链接可追踪,4.7,后台拼团管理 + 数据报表,后台管理,拼团进度 分销数据,2026-05-11,2026-05-24,明确,Medium,后端,运营角色,
Sprint 4,拼团名额自动分配 分销链接可追踪,4.8,数据库表：groups/group_members,数据库,团池模型表,2026-05-11,2026-05-24,明确,High,数据库,Phase 4 启动前设计,
Sprint 4,拼团名额自动分配 分销链接可追踪,4.9,数据库表：referrals,数据库,分销归属表,2026-05-11,2026-05-24,明确,Medium,数据库,或复用 orders.referral_code,
Sprint 5,联调 压测 培训 发布,5.1,全链路联调测试,全端,端到端流程验证,2026-05-25,2026-05-30,明确,High,测试,真实走一单支付宝+Wise,
Sprint 5,联调 压测 培训 发布,5.2,压测（800人并发核销）,核销端,压测报告,2026-05-25,2026-05-30,明确,High,测试,含离线队列+重试验证,
Sprint 5,联调 压测 培训 发布,5.3,后台使用培训,后台管理,运营/财务培训完成,2026-05-25,2026-05-30,明确,High,产品,含操作手册,
Sprint 5,联调 压测 培训 发布,5.4,核销端使用培训,核销端,安保人员培训完成,2026-05-25,2026-05-30,明确,High,产品,现场扫码流程,
Sprint 5,联调 压测 培训 发布,5.5,灰度发布,全端,小流量验证,2026-05-25,2026-05-30,明确,High,运维,逐步放量,
Sprint 5,联调 压测 培训 发布,5.6,全量发布,全端,官网正式上线,2026-05-25,2026-05-30,明确,High,运维,上线后值守48小时,
Sprint 5,联调 压测 培训 发布,5.7,监控 + 报警配置,基础设施,服务健康监控,2026-05-25,2026-05-30,明确,High,运维,异常自动通知,
Sprint 5,联调 压测 培训 发布,5.8,数据备份方案落地,基础设施,定时备份策略,2026-05-25,2026-05-30,明确,High,运维,订单/支付数据,
